,count,mean,std,min,25%,50%,75%,max,variance,std_dev,iqr,skewness,kurtosis
id,45912.0,18898128.755902596,10920496.16506317,2539.0,9435824.0,19523537.0,28913394.5,36487245.0,119257236491159.42,10920496.16506317,19477570.5,-0.07814475847197622,-1.2182550437432413
host_id,45912.0,66328772.285633385,77563702.44944964,2438.0,7720365.75,30283594.0,105512113.25,274321313.0,6016127937666761.0,77563702.44944964,97791747.5,1.2382792992507543,0.27371429718937224
latitude,45912.0,40.728492257361914,0.05533317596698988,40.49979,40.6892375,40.72178,40.7633925,40.91306,0.0030617603625938666,0.05533317596698988,0.07415500000000463,0.26229526239918577,0.09058534747855296
longitude,45912.0,-73.95073915294475,0.046473103408140724,-74.24442,-73.98194,-73.95437,-73.93433,-73.71299,0.002159749340383741,0.046473103408140724,0.047609999999991715,1.2398311657163559,4.915926654859353
price,45912.0,119.99906342568391,68.13300330429826,10.0,65.0,100.0,159.0,334.0,4642.1061392635165,68.13300330429826,94.0,0.9247979628089376,0.17250622448807418
minimum_nights,45912.0,6.937968287158041,19.859504858170265,1.0,1.0,2.0,5.0,1250.0,394.3999332116884,19.859504858170265,4.0,21.933341258196858,884.4263970949277
number_of_reviews,45912.0,23.940189928558983,45.316221444172726,0.0,1.0,5.0,24.0,629.0,2053.5599259773,45.316221444172726,23.0,3.63042362879878,18.843801994567098
reviews_per_month,45912.0,1.10762589301272,1.612587836100664,0.0,0.05,0.38,1.62,58.5,2.600439529139822,1.612587836100664,1.57,3.3216236618749964,44.27785743480529
calculated_host_listings_count,45912.0,6.640268339431957,31.01182626510778,1.0,1.0,1.0,2.0,327.0,961.7333682972287,31.01182626510778,1.0,8.400891051570193,76.51489201030046
availability_365,45912.0,109.37593657431609,130.28436781024052,0.0,0.0,39.0,217.0,365.0,16974.01649571404,130.28436781024052,217.0,0.8102537607951753,-0.9158229813878274
